year,temp,5%,95%
193,0.16,-0.04,0.38
192,0.15,-0.05,0.38
191,0.14,-0.05,0.37
190,0.13,-0.07,0.37
189,0.12,-0.08,0.36
188,0.11,-0.09,0.36
187,0.1,-0.1,0.35
186,0.09,-0.11,0.35
185,0.08,-0.12,0.35
184,0.07,-0.13,0.34
183,0.06,-0.14,0.34
182,0.05,-0.15,0.34
181,0.05,-0.15,0.34
180,0.05,-0.15,0.34
179,0.05,-0.15,0.34
178,0.06,-0.15,0.35
177,0.07,-0.14,0.36
176,0.07,-0.14,0.36
175,0.08,-0.13,0.37
174,0.09,-0.12,0.38
173,0.09,-0.11,0.39
172,0.1,-0.1,0.39
171,0.1,-0.09,0.39
170,0.11,-0.09,0.4
169,0.11,-0.08,0.4
168,0.11,-0.08,0.4
167,0.12,-0.07,0.41
166,0.13,-0.06,0.42
165,0.14,-0.05,0.43
164,0.15,-0.04,0.45
163,0.16,-0.03,0.47
162,0.18,-0.03,0.49
161,0.19,-0.02,0.51
160,0.2,-0.01,0.53
159,0.21,-0.01,0.54
158,0.21,-0.01,0.54
157,0.21,-0.01,0.55
156,0.21,-0.02,0.54
155,0.21,-0.02,0.54
154,0.2,-0.03,0.53
153,0.2,-0.03,0.52
152,0.19,-0.04,0.51
151,0.19,-0.05,0.5
150,0.18,-0.05,0.5
149,0.18,-0.06,0.49
148,0.18,-0.06,0.48
147,0.18,-0.05,0.48
146,0.18,-0.05,0.48
145,0.18,-0.05,0.47
144,0.18,-0.05,0.47
143,0.18,-0.05,0.47
142,0.18,-0.05,0.48
141,0.18,-0.05,0.48
140,0.18,-0.05,0.48
139,0.18,-0.05,0.48
138,0.17,-0.06,0.47
137,0.17,-0.06,0.47
136,0.16,-0.07,0.46
135,0.15,-0.07,0.46
134,0.14,-0.08,0.45
133,0.13,-0.08,0.45
132,0.13,-0.09,0.44
131,0.12,-0.09,0.44
130,0.12,-0.09,0.43
129,0.12,-0.09,0.43
128,0.12,-0.09,0.43
127,0.12,-0.09,0.43
126,0.13,-0.09,0.43
125,0.13,-0.09,0.43
124,0.14,-0.08,0.43
123,0.14,-0.08,0.44
122,0.14,-0.08,0.44
121,0.15,-0.07,0.44
120,0.15,-0.06,0.44
119,0.15,-0.06,0.45
118,0.15,-0.06,0.45
117,0.15,-0.06,0.45
116,0.15,-0.06,0.45
115,0.15,-0.06,0.45
114,0.15,-0.07,0.45
113,0.14,-0.07,0.45
112,0.14,-0.07,0.46
111,0.14,-0.07,0.45
110,0.14,-0.08,0.45
109,0.13,-0.08,0.45
108,0.13,-0.08,0.45
107,0.13,-0.09,0.45
106,0.13,-0.09,0.45
105,0.12,-0.1,0.45
104,0.12,-0.11,0.44
103,0.12,-0.12,0.43
102,0.11,-0.12,0.43
101,0.11,-0.13,0.42
100,0.1,-0.13,0.41
99,0.09,-0.13,0.4
98,0.09,-0.13,0.38
97,0.08,-0.13,0.38
96,0.09,-0.12,0.38
95,0.09,-0.11,0.38
94,0.11,-0.1,0.38
93,0.12,-0.08,0.39
92,0.14,-0.06,0.41
91,0.16,-0.04,0.42
90,0.17,-0.02,0.43
89,0.18,-0.01,0.44
88,0.19,0,0.44
87,0.19,0,0.44
86,0.19,0,0.44
85,0.19,0,0.44
84,0.19,0,0.44
83,0.19,0,0.44
82,0.19,0,0.44
81,0.19,0,0.45
80,0.19,0,0.45
79,0.2,0,0.46
78,0.2,0.01,0.47
77,0.2,0.01,0.47
76,0.2,0.01,0.48
75,0.21,0,0.49
74,0.21,0,0.49
73,0.21,0,0.5
72,0.21,-0.01,0.51
71,0.21,-0.01,0.52
70,0.21,-0.02,0.52
69,0.21,-0.03,0.53
68,0.21,-0.03,0.54
67,0.21,-0.04,0.55
66,0.2,-0.03,0.56
65,0.2,-0.03,0.57
64,0.19,-0.03,0.59
63,0.18,-0.03,0.59
62,0.18,-0.04,0.6
61,0.17,-0.05,0.6
60,0.16,-0.06,0.59
59,0.16,-0.06,0.58
58,0.15,-0.07,0.56
57,0.15,-0.08,0.54
56,0.15,-0.09,0.52
55,0.14,-0.09,0.49
54,0.14,-0.1,0.47
53,0.13,-0.1,0.45
52,0.13,-0.11,0.43
51,0.12,-0.11,0.42
50,0.11,-0.11,0.4
49,0.11,-0.12,0.39
48,0.12,-0.12,0.39
47,0.13,-0.12,0.39
46,0.14,-0.12,0.4
45,0.15,-0.12,0.4
44,0.16,-0.12,0.42
43,0.18,-0.12,0.43
42,0.19,-0.11,0.44
41,0.19,-0.11,0.46
40,0.2,-0.11,0.47
39,0.2,-0.1,0.48
38,0.2,-0.1,0.48
37,0.2,-0.09,0.48
36,0.2,-0.09,0.48
35,0.2,-0.08,0.47
34,0.19,-0.08,0.47
33,0.18,-0.07,0.45
32,0.17,-0.07,0.44
31,0.17,-0.08,0.43
30,0.16,-0.08,0.42
29,0.16,-0.08,0.41
28,0.15,-0.09,0.4
27,0.15,-0.09,0.4
26,0.14,-0.09,0.39
25,0.14,-0.1,0.39
24,0.13,-0.1,0.39
23,0.12,-0.11,0.38
22,0.11,-0.11,0.37
21,0.11,-0.11,0.37
20,0.1,-0.11,0.37
19,0.1,-0.11,0.36
18,0.1,-0.11,0.36
17,0.1,-0.11,0.37
16,0.1,-0.11,0.37
15,0.1,-0.12,0.38
14,0.1,-0.11,0.38
13,0.1,-0.11,0.38
12,0.1,-0.11,0.38
11,0.1,-0.11,0.38
10,0.1,-0.11,0.38
9,0.1,-0.11,0.38
8,0.1,-0.11,0.38
7,0.09,-0.11,0.38
6,0.09,-0.12,0.37
5,0.08,-0.13,0.37
